epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.1888,1.55145,3.45975,1.60268,0.02233,0.57768,0.13757,0.06462,1.49617,3.6533,1.61222,0.00019998,0.00019998,0.00019998
2,184.758,1.431,2.26868,1.51163,0.86424,0.16638,0.22819,0.08593,1.81693,2.99183,2.0522,0.000400951,0.000400951,0.000400951
3,274.917,1.44546,1.95338,1.54675,0.70613,0.16881,0.25844,0.11661,1.88917,2.94183,2.06661,0.000593642,0.000593642,0.000593642
4,363.725,1.3921,1.7549,1.48574,0.69813,0.33484,0.37459,0.16954,1.78623,2.36008,2.07672,0.000778055,0.000778055,0.000778055
5,453.385,1.40025,1.76144,1.49029,0.38618,0.4521,0.3991,0.18393,1.79008,2.30975,2.07344,0.000837007,0.000837007,0.000837007
6,542.443,1.36643,1.62541,1.45661,0.37178,0.54071,0.44093,0.21918,1.70504,1.91846,1.88381,0.000819009,0.000819009,0.000819009
7,631.934,1.37575,1.60623,1.48422,0.6489,0.42027,0.48004,0.22412,1.69892,2.09066,1.87672,0.000801011,0.000801011,0.000801011
8,718.913,1.37514,1.5647,1.49874,0.40272,0.48995,0.46705,0.21421,1.83713,1.70111,2.09373,0.000783013,0.000783013,0.000783013
9,807.541,1.32909,1.47995,1.4321,0.6076,0.47054,0.51985,0.26184,1.64743,1.63339,1.8375,0.000765014,0.000765014,0.000765014
10,896.279,1.33565,1.43917,1.44333,0.51306,0.58675,0.52944,0.25662,1.58953,1.63715,1.72995,0.000747016,0.000747016,0.000747016
11,987.144,1.28893,1.36038,1.40426,0.51095,0.5897,0.55887,0.26514,1.67041,1.59901,1.85244,0.000729018,0.000729018,0.000729018
12,1075.05,1.30788,1.37656,1.43398,0.571,0.5707,0.57522,0.26867,1.63551,1.56219,1.81687,0.00071102,0.00071102,0.00071102
13,1161.18,1.25974,1.26665,1.36365,0.60706,0.55995,0.57276,0.27127,1.7238,1.46126,1.97588,0.000693022,0.000693022,0.000693022
14,1249.18,1.27624,1.29873,1.39204,0.53894,0.62492,0.60387,0.32,1.52337,1.37969,1.69623,0.000675023,0.000675023,0.000675023
15,1335.47,1.2472,1.25267,1.36888,0.61337,0.65621,0.67334,0.33159,1.64025,1.38128,1.7871,0.000657025,0.000657025,0.000657025
16,1424.02,1.21983,1.21951,1.3627,0.59662,0.59783,0.62844,0.29978,1.53077,1.50068,1.66796,0.000639027,0.000639027,0.000639027
17,1509.34,1.23106,1.21401,1.3604,0.56344,0.63896,0.63852,0.33046,1.47825,1.40537,1.64742,0.000621029,0.000621029,0.000621029
18,1595.15,1.22978,1.17545,1.33188,0.63496,0.62971,0.64722,0.3194,1.69943,1.36721,1.87077,0.000603031,0.000603031,0.000603031
19,1683.78,1.22711,1.14127,1.35685,0.67397,0.5889,0.61675,0.31496,1.57792,1.38376,1.72421,0.000585032,0.000585032,0.000585032
20,1772.98,1.21699,1.17002,1.32916,0.66382,0.68844,0.68501,0.32818,1.50404,1.23726,1.69117,0.000567034,0.000567034,0.000567034
21,1860.35,1.18062,1.09842,1.30451,0.60988,0.72026,0.70243,0.35856,1.49474,1.28174,1.65389,0.000549036,0.000549036,0.000549036
22,1950,1.19007,1.12068,1.30362,0.7088,0.6477,0.69835,0.34577,1.52603,1.23904,1.69555,0.000531038,0.000531038,0.000531038
23,2039.56,1.15102,1.06718,1.30128,0.73692,0.59524,0.71646,0.358,1.49003,1.15388,1.64514,0.00051304,0.00051304,0.00051304
24,2127.22,1.15298,1.05061,1.29944,0.70352,0.63953,0.71514,0.37869,1.41543,1.15694,1.59288,0.000495041,0.000495041,0.000495041
25,2208.63,1.14848,1.01286,1.27429,0.74502,0.66643,0.71943,0.37642,1.43575,1.12025,1.59576,0.000477043,0.000477043,0.000477043
26,2290.76,1.14371,1.0053,1.2793,0.6834,0.65331,0.69087,0.36017,1.5956,1.32183,1.72723,0.000459045,0.000459045,0.000459045
27,2377.9,1.12759,1.04844,1.29198,0.70794,0.62138,0.70596,0.33861,1.58766,1.19206,1.71082,0.000441047,0.000441047,0.000441047
28,2467.92,1.12428,1.03344,1.27917,0.71091,0.65085,0.72353,0.37309,1.50414,1.18045,1.65065,0.000423049,0.000423049,0.000423049
29,2561.32,1.12473,1.00695,1.28227,0.77726,0.66058,0.76248,0.39791,1.51287,1.14601,1.66306,0.00040505,0.00040505,0.00040505
30,2654.14,1.08726,0.98073,1.26273,0.69755,0.70759,0.74705,0.36702,1.52542,1.15198,1.67633,0.000387052,0.000387052,0.000387052
31,2750.33,1.07709,0.93798,1.25252,0.77098,0.72553,0.77431,0.39717,1.52609,1.08044,1.68831,0.000369054,0.000369054,0.000369054
32,2846.27,1.07471,0.94019,1.24886,0.70237,0.69695,0.73678,0.39217,1.3968,1.05221,1.59274,0.000351056,0.000351056,0.000351056
33,2942.46,1.07875,0.94804,1.25763,0.69977,0.69907,0.7228,0.37153,1.51976,1.08052,1.6701,0.000333058,0.000333058,0.000333058
34,3037.97,1.0472,0.91381,1.23317,0.71923,0.68873,0.73494,0.37883,1.50188,1.10096,1.68481,0.000315059,0.000315059,0.000315059
35,3131.96,1.05567,0.91699,1.24207,0.74413,0.66513,0.72878,0.37665,1.52688,1.06069,1.71681,0.000297061,0.000297061,0.000297061
36,3227,1.0556,0.89767,1.22727,0.71285,0.74273,0.74931,0.38933,1.51347,1.09324,1.69105,0.000279063,0.000279063,0.000279063
37,3320.08,1.03158,0.88096,1.2383,0.71993,0.6948,0.73416,0.39007,1.44595,1.07915,1.61922,0.000261065,0.000261065,0.000261065
38,3413.58,1.03655,0.86892,1.21208,0.7042,0.72837,0.75866,0.4,1.52023,1.02853,1.67891,0.000243067,0.000243067,0.000243067
39,3508.27,1.04277,0.87512,1.20739,0.76724,0.67512,0.75764,0.40668,1.39854,1.01186,1.59494,0.000225068,0.000225068,0.000225068
40,3601.85,1.01264,0.86408,1.21174,0.76387,0.6562,0.74727,0.39908,1.40677,1.01768,1.58457,0.00020707,0.00020707,0.00020707
41,3694.52,0.98642,0.85932,1.21903,0.70704,0.65741,0.70044,0.36349,1.56187,1.11471,1.71942,0.000189072,0.000189072,0.000189072
42,3787.47,0.96353,0.80564,1.23036,0.74482,0.64253,0.71512,0.36672,1.50881,1.12503,1.69883,0.000171074,0.000171074,0.000171074
43,3880.87,0.93491,0.76449,1.17176,0.69345,0.70846,0.7473,0.38532,1.44441,1.05307,1.66633,0.000153076,0.000153076,0.000153076
44,3973.9,0.94214,0.77328,1.20079,0.68434,0.74214,0.75258,0.39127,1.40633,1.07179,1.6226,0.000135077,0.000135077,0.000135077
45,4067.67,0.9104,0.74369,1.19369,0.70792,0.72646,0.74279,0.38441,1.47855,1.0433,1.67437,0.000117079,0.000117079,0.000117079
46,4163.89,0.90623,0.73508,1.17432,0.72574,0.71738,0.74331,0.39019,1.46979,1.02585,1.67605,9.9081e-05,9.9081e-05,9.9081e-05
47,4255.07,0.88029,0.70999,1.16381,0.75779,0.6791,0.74859,0.39927,1.44464,1.00113,1.65662,8.10828e-05,8.10828e-05,8.10828e-05
48,4342.69,0.87775,0.71462,1.14906,0.73598,0.70095,0.753,0.39697,1.45025,1.01269,1.66075,6.30846e-05,6.30846e-05,6.30846e-05
49,4426.91,0.86217,0.70355,1.13896,0.74404,0.69562,0.76277,0.40204,1.45618,1.01427,1.65686,4.50864e-05,4.50864e-05,4.50864e-05
50,4510.17,0.88635,0.69427,1.15733,0.74404,0.70664,0.75924,0.40154,1.45671,1.01237,1.65521,2.70882e-05,2.70882e-05,2.70882e-05
